N° Adresse;N° Article ;N° Ingenieur Commercial;Date facturation ;Date livraison ;N° de facture ;N° commande;Desc article;Quantite;Qte ouverte;Commande Ouverte;Chiffre Affaire;Montant;Rupture de stock;Cout;Marge;N° Client 
6;93;13;10/02/2016;10/05/2020;3984;10015;Pour vente ;2054;94; Pour vente;291757,00;6434103,00;Non;10249,00;1160,00;16168892
5;141;17;11/02/2016;11/05/2020;2918;15417;Pour vente ;1843;30; Pour vente;253621,00;3073549,00;Non;14652,00;1279,00;15303732
13;126;13;12/02/2016;12/05/2020;2637;13003;Pour vente ;1394;53; Pour vente;261957,00;6197512,00;Non;19640,00;1173,00;18391520
11;124;17;13/02/2016;13/05/2020;2207;12505;Pour vente ;1926;27; Pour vente;279779,00;5048266,00;Non;17024,00;1748,00;12911792
18;204;20;14/02/2016;14/05/2020;1796;12943;Pour vente ;267;97; Pour vente;298636,00;7660021,00;Non;10254,00;1956,00;17540050
18;104;14;15/02/2016;15/05/2020;2802;18850;Pour vente ;363;54; Pour vente;283735,00;4688509,00;Non;10400,00;1983,00;13318310
5;182;10;16/02/2016;16/05/2020;1612;16410;Pour vente ;1058;56; Pour vente;282276,00;6941126,00;Non;15334,00;1418,00;16317094
11;130;19;17/02/2016;17/05/2020;1890;19461;Pour vente ;2275;74; Pour vente;298574,00;5167760,00;Non;12183,00;1217,00;11847509
15;188;17;18/02/2016;18/05/2020;3695;13478;Pour vente ;2397;26; Pour vente;259933,00;7138567,00;Non;16282,00;1864,00;11253952
19;13;11;19/02/2016;19/05/2020;2444;12345;Pour vente ;2389;87; Pour vente;256856,00;3698939,00;Non;17558,00;1078,00;15067327
19;254;19;20/02/2016;20/05/2020;3278;18396;Pour vente ;278;25; Pour vente;262405,00;6806479,00;Non;14268,00;1594,00;18184082
14;216;13;21/02/2016;21/05/2020;2147;11458;Pour vente ;2261;28; Pour vente;273967,00;5646303,00;Non;14065,00;1592,00;14820720
4;235;19;22/02/2016;22/05/2020;2523;11306;Pour vente ;2166;95; Pour vente;269603,00;3327064,00;Non;14785,00;1742,00;14645896
15;228;11;23/02/2016;23/05/2020;3824;17499;Pour vente ;1044;89; Pour vente;253988,00;3670562,00;Non;11577,00;1348,00;11300230
10;98;16;24/02/2016;24/05/2020;3750;16182;Pour vente ;605;75; Pour vente;273349,00;6233531,00;Non;19992,00;1083,00;10669953
17;215;16;25/02/2016;25/05/2020;2757;10376;Pour vente ;575;83; Pour vente;274128,00;2465991,00;Non;14885,00;1911,00;17272933
9;219;19;26/02/2016;26/05/2020;2113;15778;Pour vente ;581;51; Pour vente;271706,00;4839541,00;Non;17784,00;1573,00;17645493
9;80;18;27/02/2016;27/05/2020;2698;11291;Pour vente ;1282;65; Pour vente;269029,00;7795376,00;Non;19680,00;1662,00;11187418
17;36;18;28/02/2016;28/05/2020;3202;12327;Pour vente ;352;95; Pour vente;284279,00;3842479,00;Non;17249,00;1272,00;11035455
16;193;16;29/02/2016;29/05/2020;1555;12441;Pour vente ;283;92; Pour vente;291549,00;7102505,00;Non;18952,00;1539,00;16239639
15;171;17;01/03/2016;30/05/2020;1640;11809;Pour vente ;702;89; Pour vente;295088,00;6986890,00;Non;12167,00;1077,00;10657421
4;111;12;02/03/2016;31/05/2020;1988;16288;Pour vente ;1565;59; Pour vente;280802,00;7593760,00;Non;18862,00;1965,00;18396377
17;151;18;03/03/2016;01/06/2020;1566;14452;Pour vente ;1917;71; Pour vente;274247,00;2624212,00;Non;16881,00;1306,00;11537897
2;247;14;04/03/2016;02/06/2020;3053;14323;Pour vente ;1903;100; Pour vente;286129,00;4006758,00;Non;14870,00;1732,00;15645021
3;54;20;05/03/2016;03/06/2020;1820;17036;Pour vente ;193;57; Pour vente;253022,00;2039574,00;Non;10970,00;1574,00;12840066
13;28;17;06/03/2016;04/06/2020;2222;18434;Pour vente ;2190;85; Pour vente;282112,00;4884251,00;Non;10722,00;1745,00;18875561
14;83;14;07/03/2016;05/06/2020;1781;13012;Pour vente ;210;66; Pour vente;265400,00;4304250,00;Non;11343,00;1202,00;15343335
4;123;16;08/03/2016;06/06/2020;2873;18994;Pour vente ;914;36; Pour vente;285796,00;4205643,00;Non;18619,00;1476,00;12888045
4;77;19;09/03/2016;07/06/2020;1513;12048;Pour vente ;788;38; Pour vente;291684,00;6429177,00;Non;14743,00;1884,00;11237213
5;110;18;10/03/2016;08/06/2020;3502;11421;Pour vente ;290;45; Pour vente;281817,00;3599340,00;Non;15967,00;1764,00;16968629
10;10;13;11/03/2016;09/06/2020;1692;10663;Pour vente ;681;100; Pour vente;278985,00;5513476,00;Non;11105,00;1899,00;14624277
9;201;11;12/03/2016;10/06/2020;2972;14809;Pour vente ;403;51; Pour vente;290903,00;5157715,00;Non;13573,00;1772,00;14322341
17;196;16;13/03/2016;11/06/2020;2846;17277;Pour vente ;1224;61; Pour vente;270385,00;3720976,00;Non;10173,00;1639,00;15928610
19;215;17;14/03/2016;12/06/2020;1553;17374;Pour vente ;783;74; Pour vente;277946,00;2912268,00;Non;16143,00;1453,00;15454904
7;88;12;15/03/2016;13/06/2020;3182;12896;Pour vente ;2010;56; Pour vente;272120,00;3409208,00;Non;11653,00;1585,00;17372334
17;217;20;16/03/2016;14/06/2020;2314;12144;Pour vente ;1078;76; Pour vente;286033,00;7697843,00;Non;19781,00;1328,00;17749377
14;162;12;17/03/2016;15/06/2020;2511;15183;Pour vente ;885;59; Pour vente;259800,00;4694931,00;Non;10106,00;1304,00;11030840
20;92;20;18/03/2016;16/06/2020;2898;19708;Pour vente ;1509;26; Pour vente;296829,00;5880478,00;Non;18854,00;1697,00;16347692
19;233;10;19/03/2016;17/06/2020;2815;13545;Pour vente ;2417;71; Pour vente;268675,00;7955476,00;Non;18578,00;1147,00;11200793
8;157;19;20/03/2016;18/06/2020;1972;14590;Pour vente ;1967;90; Pour vente;287761,00;6263368,00;Non;11684,00;1451,00;18166490
14;58;20;21/03/2016;19/06/2020;2556;17797;Pour vente ;183;46; Pour vente;251197,00;6977210,00;Non;11690,00;1470,00;15131656
18;111;14;22/03/2016;20/06/2020;3935;14014;Pour vente ;2144;99; Pour vente;290980,00;7205876,00;Non;17426,00;1407,00;16097437
20;209;15;23/03/2016;21/06/2020;1776;13988;Pour vente ;2520;71; Pour vente;254581,00;6684534,00;Non;17608,00;1274,00;16799066
14;126;19;24/03/2016;22/06/2020;1984;12606;Pour vente ;404;68; Pour vente;265257,00;4889841,00;Non;18250,00;1898,00;13603325
12;176;13;25/03/2016;23/06/2020;2244;15704;Pour vente ;695;84; Pour vente;262222,00;5000156,00;Non;19634,00;1527,00;17864761
12;34;14;26/03/2016;24/06/2020;2435;15534;Pour vente ;1528;67; Pour vente;275312,00;3740618,00;Non;19549,00;1790,00;16191020
20;94;13;27/03/2016;25/06/2020;1735;12968;Pour vente ;241;51; Pour vente;273227,00;3389441,00;Non;16767,00;1338,00;19347276
20;56;19;28/03/2016;26/06/2020;2804;13799;Pour vente ;760;51; Pour vente;250001,00;3078295,00;Non;16210,00;1027,00;13844337
10;111;16;29/03/2016;27/06/2020;1492;12428;Pour vente ;858;90; Pour vente;272507,00;2537953,00;Non;16902,00;1084,00;17214866
11;186;14;30/03/2016;28/06/2020;2052;10124;Pour vente ;477;55; Pour vente;254984,00;5104598,00;Non;17325,00;1995,00;17447308
4;206;20;31/03/2016;29/06/2020;2331;18774;Pour vente ;1923;42; Pour vente;260962,00;4269109,00;Non;14135,00;1704,00;14591878
7;198;14;01/04/2016;30/06/2020;1497;18234;Pour vente ;326;32; Pour vente;253563,00;3032520,00;Non;14255,00;1397,00;13377240
19;248;13;02/04/2016;01/07/2020;2120;13102;Pour vente ;1639;49; Pour vente;253762,00;3939339,00;Non;13064,00;1324,00;11314991
7;241;20;03/04/2016;02/07/2020;3741;10780;Pour vente ;2068;58; Pour vente;251088,00;7044585,00;Non;15021,00;1678,00;10439997
14;150;18;04/04/2016;03/07/2020;2661;16057;Pour vente ;777;24; Pour vente;274944,00;3873882,00;Non;15363,00;1877,00;15161759
11;80;16;05/04/2016;04/07/2020;2451;11876;Pour vente ;2278;76; Pour vente;291277,00;3810456,00;Non;14409,00;1646,00;16660438
6;46;13;06/04/2016;05/07/2020;2770;14249;Pour vente ;762;79; Pour vente;282633,00;6108626,00;Non;10652,00;1387,00;15684112
9;103;10;07/04/2016;06/07/2020;1880;13955;Pour vente ;1555;49; Pour vente;258021,00;5220576,00;Non;16145,00;1508,00;18333266
12;232;10;08/04/2016;07/07/2020;3351;13562;Pour vente ;1222;58; Pour vente;276069,00;3670333,00;Non;16419,00;1756,00;11669781
20;114;18;09/04/2016;08/07/2020;2387;19921;Pour vente ;1718;71; Pour vente;268739,00;6186371,00;Non;19398,00;1869,00;16856522
1;186;10;10/04/2016;09/07/2020;2925;13684;Pour vente ;1770;40; Pour vente;269445,00;3134406,00;Non;19827,00;1825,00;14686642
16;161;11;11/04/2016;10/07/2020;2716;18750;Pour vente ;409;98; Pour vente;253618,00;6054973,00;Non;10532,00;1552,00;13314764
2;94;14;12/04/2016;11/07/2020;2890;11163;Pour vente ;1579;69; Pour vente;282720,00;6382231,00;Non;17910,00;1145,00;14921720
11;197;11;13/04/2016;12/07/2020;2007;11295;Pour vente ;1169;40; Pour vente;281977,00;2281370,00;Non;16190,00;1023,00;17123209
16;155;18;14/04/2016;13/07/2020;2497;14568;Pour vente ;1424;53; Pour vente;292825,00;6506192,00;Non;14807,00;1548,00;14706451
6;62;20;15/04/2016;14/07/2020;3922;17107;Pour vente ;1786;93; Pour vente;260934,00;6557548,00;Non;17790,00;1628,00;12341633
8;72;13;16/04/2016;15/07/2020;3188;13634;Pour vente ;698;55; Pour vente;294657,00;4648898,00;Non;19738,00;1406,00;19097820
19;234;12;17/04/2016;16/07/2020;2815;12775;Pour vente ;1995;64; Pour vente;271411,00;2728008,00;Non;10391,00;1448,00;14798259
9;10;12;18/04/2016;17/07/2020;3500;14625;Pour vente ;2337;42; Pour vente;262190,00;7135069,00;Non;10108,00;1990,00;19502313
8;241;12;19/04/2016;18/07/2020;2279;10816;Pour vente ;1802;64; Pour vente;263500,00;6501997,00;Non;15316,00;1565,00;10864216
5;101;10;20/04/2016;19/07/2020;3087;11325;Pour vente ;1746;82; Pour vente;251232,00;6137235,00;Non;17421,00;1639,00;17334291
3;214;13;21/04/2016;20/07/2020;1982;10018;Pour vente ;916;48; Pour vente;296160,00;5935838,00;Non;19994,00;1226,00;10021988
15;18;17;22/04/2016;21/07/2020;2670;19050;Pour vente ;2063;100; Pour vente;262458,00;4885632,00;Non;17000,00;1185,00;18872393
11;38;17;23/04/2016;22/07/2020;1475;18546;Pour vente ;820;89; Pour vente;251786,00;7892004,00;Non;11009,00;1333,00;17169157
18;223;20;24/04/2016;23/07/2020;3209;13784;Pour vente ;278;75; Pour vente;279278,00;5938103,00;Non;19830,00;1584,00;12748179
12;47;18;25/04/2016;24/07/2020;1995;14419;Pour vente ;2296;34; Pour vente;259562,00;2738328,00;Non;10450,00;1955,00;10098212
18;196;18;26/04/2016;25/07/2020;1591;17530;Pour vente ;994;35; Pour vente;282006,00;2517966,00;Non;12119,00;1080,00;13609557
7;175;15;27/04/2016;26/07/2020;3505;15948;Pour vente ;302;35; Pour vente;295016,00;5455886,00;Non;16073,00;1101,00;13477619
19;173;17;28/04/2016;27/07/2020;1561;17490;Pour vente ;1279;59; Pour vente;295417,00;5917728,00;Non;10457,00;1436,00;11539061
17;109;13;29/04/2016;28/07/2020;2847;14757;Pour vente ;307;99; Pour vente;275672,00;4919642,00;Non;12514,00;1847,00;11354914
3;249;17;30/04/2016;29/07/2020;3086;13815;Pour vente ;540;92; Pour vente;296970,00;3738149,00;Non;14279,00;1520,00;11156298
3;12;15;01/05/2016;30/07/2020;2207;11605;Pour vente ;2484;78; Pour vente;259683,00;6149724,00;Non;13115,00;1578,00;11874805
18;111;17;02/05/2016;31/07/2020;2355;19286;Pour vente ;655;98; Pour vente;283178,00;3139735,00;Non;11482,00;1309,00;12204875
8;48;12;03/05/2016;01/08/2020;3672;15208;Pour vente ;1600;94; Pour vente;266674,00;7021979,00;Non;19961,00;1521,00;19597051
3;64;14;04/05/2016;02/08/2020;3535;13447;Pour vente ;184;41; Pour vente;296068,00;3001000,00;Non;16858,00;1125,00;13391783
